mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9069088459014892,0.05352990271475247,0.057810068130493164,0.0037665321458971637,,,sqrt,1,2,300,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0668056011199951,0.02550200008389121,0.0650169849395752,0.0032825501314211417,balanced_subsample,6,sqrt,5,10,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.7474780082702637,0.04568687800557403,0.11184935569763184,0.008385157611412869,balanced_subsample,6,sqrt,5,5,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 800}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.7781396389007569,0.05571236475947042,0.08015923500061035,0.0029916701987109154,balanced_subsample,6,sqrt,5,5,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0814392566680908,0.03651602303579545,0.059166669845581055,0.006628481656157913,balanced_subsample,6,sqrt,5,5,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.7913162231445314,0.11262283959542198,0.11061162948608398,0.0027405875466464066,balanced_subsample,6,sqrt,5,2,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 800}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.737578773498535,0.01072345125764041,0.07738757133483887,0.005488457799538535,balanced_subsample,6,sqrt,5,2,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0898801803588867,0.03299657428221617,0.06145191192626953,0.004281961134497622,balanced_subsample,6,sqrt,5,2,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.9063190460205077,0.08890102478494465,0.11638102531433106,0.008085365155116951,balanced_subsample,6,sqrt,2,10,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 800}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.7303665637969972,0.027828221274778162,0.08370432853698731,0.006227466130087909,balanced_subsample,6,sqrt,2,10,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0817860603332519,0.05212625346124384,0.05944957733154297,0.005777257299425247,balanced_subsample,6,sqrt,2,10,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.7946309089660644,0.09032833404101726,0.10609745979309082,0.006848733673517772,balanced_subsample,6,sqrt,2,5,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 800}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.7583728313446045,0.05039383723154856,0.0806917667388916,0.009386258791369853,balanced_subsample,6,sqrt,2,5,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0832149505615234,0.03559156867173762,0.06730813980102539,0.005654033790631965,balanced_subsample,6,sqrt,2,5,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.8368602275848387,0.10784592211311075,0.11238861083984375,0.009628111586312322,balanced_subsample,6,sqrt,2,2,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 800}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.727375602722168,0.012335522540477283,0.08323402404785156,0.0042085131611352715,balanced_subsample,6,sqrt,2,2,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.06056809425354,0.03828798735412162,0.06155319213867187,0.005283031039211912,balanced_subsample,6,sqrt,2,2,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.8567503452301026,0.11063518732534984,0.11220107078552247,0.00994706597904918,balanced_subsample,6,sqrt,1,10,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 800}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.770826768875122,0.060678661923678066,0.07453393936157227,0.004950113693838622,balanced_subsample,6,sqrt,1,10,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0968316555023194,0.04311156869626153,0.05800914764404297,0.003424853626170026,balanced_subsample,6,sqrt,1,10,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 6, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
