antecedent,consequent,antecedent_len,support,confidence,lift,leverage,conviction,used_min_support,used_min_confidence,used_min_lift
ADL总分_20-29 + 高尿酸_是,高血脂阳性,2,0.22661870503597123,1.0,1.2930232558139536,0.05135603747218054,inf,0.08,0.85,1.08
吸烟史_无 + 高尿酸_是,高血脂阳性,2,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf,0.08,0.85,1.08
性别_男 + 高尿酸_是,高血脂阳性,2,0.21942446043165467,1.0,1.2930232558139536,0.049725687076238284,inf,0.08,0.85,1.08
吸烟史_有 + 高尿酸_是,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf,0.08,0.85,1.08
性别_女 + 高尿酸_是,高血脂阳性,2,0.21223021582733814,1.0,1.2930232558139536,0.04809533668029606,inf,0.08,0.85,1.08
IADL总分_20-29 + 高尿酸_是,高血脂阳性,2,0.19424460431654678,1.0,1.2930232558139536,0.044019460690440465,inf,0.08,0.85,1.08
阳虚质_<20 + 高尿酸_是,高血脂阳性,2,0.19424460431654678,1.0,1.2930232558139536,0.044019460690440465,inf,0.08,0.85,1.08
气郁质_>=35 + 高尿酸_是,高血脂阳性,2,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf,0.08,0.85,1.08
痰湿质_<=58 + 高尿酸_是,高血脂阳性,2,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf,0.08,0.85,1.08
血瘀质_<20 + 高尿酸_是,高血脂阳性,2,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf,0.08,0.85,1.08
阴虚质_<20 + 高尿酸_是,高血脂阳性,2,0.18345323741007194,1.0,1.2930232558139536,0.0415739350965271,inf,0.08,0.85,1.08
湿热质_<20 + 高尿酸_是,高血脂阳性,2,0.17985611510791366,1.0,1.2930232558139536,0.040758759898555985,inf,0.08,0.85,1.08
气郁质_<20 + 高尿酸_是,高血脂阳性,2,0.1618705035971223,1.0,1.2930232558139536,0.03668288390870039,inf,0.08,0.85,1.08
特禀质_<20 + 高尿酸_是,高血脂阳性,2,0.1618705035971223,1.0,1.2930232558139536,0.03668288390870039,inf,0.08,0.85,1.08
平和质_<20 + 高尿酸_是,高血脂阳性,2,0.15467625899280577,1.0,1.2930232558139536,0.03505253351275815,inf,0.08,0.85,1.08
